RSRP,SINR,prev_beam,distance,best_beam
-68.09175624576321,11.734300376291642,3,241.6773581423832,4
-82.91980089153607,17.049493881982944,4,595.6542249880541,5
-80.37897159087655,26.52170935029961,2,595.182593655145,5
-112.6963090313733,6.661122789293323,5,686.0242520675738,3
-72.1472867268061,8.913704288711699,6,981.5396192866925,5
-113.48537672371407,2.9629274683230644,7,208.05806641979825,3
-74.44935685960837,1.339713110070985,3,501.02226279150005,3
-67.95604838249069,6.020746438695511,1,933.4181445554613,3
-107.51498569730518,20.728865384189,7,525.0282299285318,5
-80.85100471049705,-7.109864564439929,0,316.6682612294302,2
-98.35407478915519,8.134271618318007,6,922.8570867334275,4
-118.8159151155759,-1.0497169620991151,3,134.6847327777565,1
-80.28578840008021,2.386448265744928,3,155.91654505464396,3
-61.721319822159536,26.70432322020622,4,561.886098044251,6
-106.9554812061424,8.95096538805426,6,74.35475261750973,4
-73.8706360551158,1.9728528855566871,4,509.9751848752087,4
-113.91656982463599,-2.434077489340938,1,223.59601747365545,1
-72.64773279639464,6.431168532299161,0,149.46134376441114,3
-75.54857724108763,-3.3379622263286812,2,213.56946322457833,3
-99.63894612373633,4.811009626757459,0,265.82308103764217,1
-110.39785377336669,-3.202832524929251,1,501.3803148660173,1
-104.923267338344,0.5484376880184136,1,89.95082815944835,1
-87.02310539500911,-1.4245898081055977,1,149.64256018279667,2
-74.22257265036271,-1.2337170943255273,6,154.03545734324032,4
-67.56279918723732,13.018078525002203,2,531.2564445796368,4
-68.13648768513923,0.9288693384235778,1,170.8260653655795,3
-106.37909539100286,23.000270632711377,2,326.9788641567146,3
-77.56799854841223,17.16236558211588,3,662.7122409543773,4
-67.44835617728796,8.42669401718764,5,919.3429429657124,5
-95.42282084501129,27.853787194684493,7,92.19105905126146,6
-115.35230401967364,4.947150005168549,3,538.8492550294385,2
-81.645812681985,1.8700605652425306,1,898.6001292317868,2
-71.19158504285843,12.682331606041068,4,246.51686199915412,5
-87.65854544512518,25.04086199300295,7,712.4326215901314,6
-102.52691857514571,12.509338415714353,4,931.6547206597016,3
-102.8943797751081,28.384898881370063,6,703.5337457674888,5
-117.5317528335602,8.334068170328479,3,545.045189710226,2
-80.30963074223719,6.577408512781769,6,794.3249359385514,5
-84.96794210690817,-8.183468678181125,1,708.1703919620902,2
-108.1914672347705,-1.2210866900531503,6,846.2979705420881,3
-61.49544893750673,29.075582225527008,6,883.0143936815211,7
-118.79258041055884,-0.762373179174185,1,996.0453492224693,1
-108.23950425118399,8.077233053494886,6,544.9314908347933,3
-93.44710300001685,24.944712321378766,2,462.9853555950953,4
-110.86301357468379,-3.1323243828844793,4,56.894701524458526,2
-111.51734103576159,12.409353693150202,3,812.9673449381406,3
-113.54746214021284,-2.17156087026793,5,174.16610803361817,2
-95.44177326500551,16.924419131758725,2,565.7184639896452,3
-89.76871316981466,-7.654826502811183,1,234.18518709833396,1
-92.25914996889489,0.07491550847820605,6,750.7935624545178,4
-62.58355163938597,0.14499195549312205,5,874.6797801980988,5
-73.46710765798628,-9.02625026422558,6,302.8178141831483,4
-70.34534562854402,22.965133086762798,5,537.8476657459339,6
-96.32283355792471,13.967724141124688,6,852.0658602586742,4
-82.46999660531324,-4.737974616053955,3,798.1467274547545,3
-81.69854570772057,12.434017179663023,3,941.086875584741,4
-101.29455617081645,-4.686149885887505,2,936.2614896460123,1
-61.04621657965472,-4.7759904353603755,1,734.2218111452491,3
-64.46948016416741,-1.7135307874422487,0,173.67527331641315,3
-96.40844537145631,-0.9905602338412134,6,596.7709152874252,3
-96.18866674100896,0.010274310868183534,4,420.8857260734941,3
-107.9784113818004,1.9351832693630868,2,189.99109853308306,2
-115.96060606437864,-8.952032429869924,0,647.23937243485,0
-60.536810062378144,8.882344790221403,7,293.2696554067428,6
-76.01794876368287,25.908964252874817,2,535.9104111905385,5
-78.86934991128003,15.634287625802653,1,623.8440767839904,4
-100.24860008500987,-4.1465355992219655,0,194.31023572268896,1
-86.92661337190337,15.096331276055032,7,981.4308739059996,5
-77.47677668079348,3.111327043899582,6,835.6385083236291,4
-103.212343688602,7.787080962590608,6,958.1530173242436,4
-94.22855557398303,-3.2608680306519755,2,537.5155453941533,2
-97.18555784863293,20.144770371961513,1,909.6183222226548,3
-68.15010063011871,26.88949283480757,2,860.4054861660729,5
-67.83224602951378,3.342472604844584,0,330.88266309860603,3
-99.42975114567491,16.231342608647694,3,410.65001445071664,3
-70.26431479155401,20.396087625143306,6,549.151847916362,6
-71.26381390500202,15.234357740851678,5,271.79445272435873,5
-96.00160513830215,16.925656690321127,0,270.68746775765356,3
-75.7265573007347,28.393465506261656,0,177.95810036575625,4
-73.5933532120462,13.309749941824016,2,347.1258874431851,4
-94.99546634637377,8.871732914620058,7,450.006109981875,4
-83.15749678589256,19.487472529504316,4,775.2793100609689,5
-115.10311812090028,14.129342050754627,7,65.5241044898279,4
